date,year,avg_day_price_eur_kwh,fixed_mean_price_eur_kwh,continuous_mean_price_eur_kwh,sparse_mean_price_eur_kwh,fixed_savings_pct,continuous_savings_pct,sparse_savings_pct,fixed_hours,continuous_start_hour,continuous_hours,sparse_hours
2013-01-17,2013,0.053563749999999966,0.06223214285714283,0.045858571428571394,0.0451885714285714,-16.183319609144007,14.385061858866447,15.635907813453265,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,10,11,12,20,21,22,23"
2013-01-18,2013,0.04802999999999997,0.0538342857142857,0.04300714285714281,0.041609285714285675,-12.084708961660915,10.457749620772764,13.368133012105554,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",17,"17,18,19,20,21,22,23,0,1,2,3,4,5,6","0,1,2,3,4,5,6,13,14,19,20,21,22,23"
2013-01-19,2013,0.04016249999999999,0.041502142857142856,0.03850071428571428,0.03845357142857142,-3.335556444800164,4.137655062024807,4.255035347472319,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,14,20,21,22,23"
2013-01-20,2013,0.038339999999999964,0.03898999999999996,0.03760999999999997,0.0374785714285714,-1.695357329160142,1.904016692749075,2.2468142186451807,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,14,15,21,22,23"
2013-01-21,2013,0.041458333333333326,0.04396214285714285,0.03929500000000001,0.03912571428571428,-6.039339554917452,5.218090452261265,5.626417803302229,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",18,"18,19,20,21,22,23,0,1,2,3,4,5,6,7","0,1,2,3,4,5,6,11,12,19,20,21,22,23"
2013-01-22,2013,0.04642124999999999,0.05189499999999998,0.04118142857142855,0.040377142857142834,-11.791474809489175,11.287549190449292,13.020130097438475,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",18,"18,19,20,21,22,23,0,1,2,3,4,5,6,7","0,1,2,3,4,5,6,12,13,19,20,21,22,23"
2013-01-23,2013,0.053635833333333334,0.06339785714285714,0.04419,0.04351214285714285,-18.20056332276086,17.611049826763825,18.87486377488398,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",18,"18,19,20,21,22,23,0,1,2,3,4,5,6,7","0,1,2,3,4,5,6,15,18,19,20,21,22,23"
2013-01-24,2013,0.05483208333333331,0.06486142857142856,0.04604714285714283,0.044459285714285667,-18.2910161868649,16.021533274206224,18.917387391592783,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",19,"19,20,21,22,23,0,1,2,3,4,5,6,7,8","0,1,2,3,4,5,6,11,15,19,20,21,22,23"
2013-01-25,2013,0.05093791666666666,0.05899214285714285,0.04380999999999998,0.04247999999999998,-15.81184845698019,13.993341567758161,16.604363154493644,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",17,"17,18,19,20,21,22,23,0,1,2,3,4,5,6","0,1,2,3,4,5,6,14,15,19,20,21,22,23"
2013-01-26,2013,0.03753208333333332,0.038167857142857135,0.03671142857142856,0.036660714285714276,-1.6939475591517892,2.186541990265463,2.3216644807061817,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,13,14,21,22,23"
2013-01-27,2013,0.036055833333333336,0.03672857142857143,0.03523714285714286,0.03523142857142857,-1.865823177677475,2.2706186503075494,2.286467086430108,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9,14,21,22,23"
2013-01-28,2013,0.039188333333333304,0.04163142857142854,0.037109285714285685,0.036637857142857104,-6.2342412404080445,5.305271855690777,6.508253792734747,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",15,"15,16,17,18,19,20,21,22,23,0,1,2,3,4","0,1,2,3,4,11,12,13,14,19,20,21,22,23"
2013-01-29,2013,0.03752541666666666,0.039768571428571424,0.03608214285714285,0.03550357142857142,-5.977694483262943,3.8461233417984997,5.387935478651775,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",21,"21,22,23,0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,9,10,11,12,20,21,22,23"
2013-01-30,2013,0.03577291666666665,0.037506428571428545,0.034638571428571414,0.03429357142857142,-4.845878016922201,3.1709610056823254,4.1353777548524135,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",19,"19,20,21,22,23,0,1,2,3,4,5,6,7,8","0,1,2,3,4,5,12,13,14,15,20,21,22,23"
2013-01-31,2013,0.035520833333333314,0.03715714285714284,0.03434785714285713,0.03412357142857141,-4.606619187264357,3.3022203602848563,3.9336405529953837,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",22,"22,23,0,1,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,10,11,12,13,14,21,22,23"
2013-02-01,2013,0.038481249999999974,0.040445714285714265,0.036670714285714244,0.03651428571428568,-5.104990835054196,4.704981554096426,5.111487505510594,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",19,"19,20,21,22,23,0,1,2,3,4,5,6,7,8","0,1,2,3,4,5,6,7,14,15,20,21,22,23"
2013-02-02,2013,0.03632958333333332,0.037124999999999984,0.03548714285714285,0.03523571428571427,-2.189446158433784,2.3188828466895965,3.0109595190853518,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9","1,2,3,4,5,6,7,8,13,14,15,21,22,23"
2013-02-03,2013,0.03581499999999999,0.036434999999999995,0.03516285714285715,0.03492928571428571,-1.7311182465447512,1.8208651602480646,2.4730260664924795,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,13,14,15,22,23"
2013-02-04,2013,0.03662083333333331,0.03814999999999997,0.0353142857142857,0.03521285714285712,-4.1756741381271825,3.5677714025648717,3.84474099117403,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",16,"16,17,18,19,20,21,22,23,0,1,2,3,4,5","0,1,2,3,4,5,13,14,15,19,20,21,22,23"
