date,year,avg_day_price_eur_kwh,fixed_mean_price_eur_kwh,continuous_mean_price_eur_kwh,sparse_mean_price_eur_kwh,fixed_savings_pct,continuous_savings_pct,sparse_savings_pct,fixed_hours,continuous_start_hour,continuous_hours,sparse_hours
2013-01-16,2013,0.051322083333333324,0.057582499999999995,0.04598062499999998,0.04475687499999999,-12.198290209705059,10.407719224180639,12.792170362011163,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",15,"15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6","0,1,2,3,4,5,6,11,12,14,15,19,20,21,22,23"
2013-01-17,2013,0.053563749999999966,0.06036687499999997,0.04737749999999996,0.04711624999999997,-12.700987141490302,11.549322069496643,12.037058645072458,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,6,9,10,11,12,19,20,21,22,23"
2013-01-18,2013,0.04802999999999997,0.05225499999999999,0.044041874999999966,0.04243187499999996,-8.796585467416246,8.303404122423496,11.65547574432649,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",15,"15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6","0,1,2,3,4,5,6,12,13,14,15,19,20,21,22,23"
2013-01-19,2013,0.04016249999999999,0.041251249999999996,0.03890125,0.03870812499999998,-2.7108621226268452,3.140367258014297,3.621226268285112,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",19,"19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,14,15,20,21,22,23"
2013-01-20,2013,0.038339999999999964,0.03891562499999997,0.03786749999999998,0.03760874999999997,-1.5013693270735624,1.23239436619715,1.9072769953051552,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",19,"19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,13,14,15,21,22,23"
2013-01-21,2013,0.041458333333333326,0.043578124999999995,0.039944999999999994,0.03960875,-5.113065326633173,3.650251256281404,4.461306532663305,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,6,11,12,13,14,19,20,21,22,23"
2013-01-22,2013,0.04642124999999999,0.050849999999999985,0.04306749999999998,0.04121187499999998,-9.540350593747467,7.224600802434251,11.22196192476508,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",19,"19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,11,12,13,14,19,20,21,22,23"
2013-01-23,2013,0.053635833333333334,0.061019375,0.046511875,0.04568,-13.766061246368256,13.282087534763761,14.833056259030814,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",15,"15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6","0,1,2,3,4,5,6,14,15,16,18,19,20,21,22,23"
2013-01-24,2013,0.05483208333333331,0.06248812499999998,0.04869437499999998,0.04665499999999997,-13.962704316967722,11.19364423201137,14.912953942719081,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",19,"19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,10,11,14,15,19,20,21,22,23"
2013-01-25,2013,0.05093791666666666,0.056720625,0.044824374999999986,0.04405499999999998,-11.352463374532734,12.001946814341002,13.512363907043726,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",14,"14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5","0,1,2,3,4,5,6,13,14,15,16,19,20,21,22,23"
2013-01-26,2013,0.03753208333333332,0.03806999999999999,0.036954999999999995,0.03681062499999999,-1.433218246611249,1.5375734094163673,1.9222443020970796,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",20,"20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,6,7,8,9,13,14,15,21,22,23"
